OBJECTID,ain,SiteAddress,usecode,usetype,usedescription,Vacant_Use,unitstotal,MaxYear,SupDist2021,Submarket_Area,plng_area,Comm_Name,Plan_Name,LUP1,PctLUPArea1,LUP2,PctLUPArea2,LUP3,PctLUPArea3,LUP_Description,LUP_MinDens,LUP_MaxDens,P_LUP_FINAL,P_LUP_Description,P_LUP_FINAL_MinDens,P_LUP_FINAL_MaxDens,Zoning1,PctZngArea1,Zoning2,PctZngArea2,Zoning3,PctZngArea3,Zoning_Description,P_Zoning_FINAL,P_Zoning_Description,Acres,Max_Units_Allowed_Rounded,RHNA_Eligible,Capacity_Inc_Very_Low,Capacity_Inc_Low,Capacity_Inc_Mod,Capacity_Inc_Abv_Mod,Realistic_Capacity,Income_Categories,Consolidation_ID,Consolidation_Adj_APNs,Shape__Area,Shape__Length
50,5240006014,4831 WHITTIER BLVD LOS ANGELES CA 90022,1400,Commercial,Supermarkets,Non-Vacant,0,1938,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,MC,100,,,,,MC - Major Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.54876026,83,Yes,0,0,0,67,67,AM,,,23903.900390625,618.816599290682
51,8401001017,20502 E ARROW HWY COVINA CA 91724,1100,Commercial,Stores,Non-Vacant,2,1989,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,79.45,C-2-BE,20.55,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,2.61213332,392,Yes,0,0,0,399,399,AM,,,113784.07421875,1697.54071194457
52,4071017010,15001 CRENSHAW BLVD GARDENA CA 90249,0501,Residential,Five or more apartments,Non-Vacant,109,1962,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,1.26252448,190,Yes,0,0,0,108,108,AM,,,54995.34765625,943.762976362221
53,8404009030,19720 E ARROW HWY COVINA CA 91724,1100,Commercial,Stores,Non-Vacant,0,1963,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3-BE,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,2.4984434,375,Yes,192,192,0,0,384,VL/L,HX,"8404009030, 8404009032, 8404009029, 8404009031",108831.758789063,1474.38775387856
54,6134001022,13000 AVALON BLVD LOS ANGELES CA 90061,1100,Commercial,Stores,Non-Vacant,0,1990,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,3.17918366,477,Yes,191,191,0,0,382,VL/L,,,138484.6875,1555.31789673744
55,8219012031,2029 S HACIENDA BLVD LA PUENTE CA 91745,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,19,1969,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,C-2-BE,100,,,,,C-2 - Neighborhood Business,C-2-BE,C-2 - Neighborhood Business,1.59458588,80,Yes,25,0,0,24,49,VL/AM,,,69459.8828125,1177.48644450286
56,8171027018,11530 WHITTIER BLVD WHITTIER CA 90601,1820,Commercial,Hotel & Motels,Non-Vacant,0,1991,4,East Los Angeles / Gateway,Gateway Planning Area,WEST WHITTIER - LOS NIETOS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3-BE,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.54582385,82,Yes,33,0,0,33,66,VL/AM,,,23775.9892578125,636.605723861931
57,8725006037,19034 LA PUENTE DR WALNUT CA 91789,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,0,1977,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,SOUTH SAN JOSE HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-BE,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,0.55137165,83,Yes,34,0,0,33,67,VL/AM,HY,"8725006036, 8725006037",24017.6533203125,655.26505231454
58,8030003035,14314 TELEGRAPH RD WHITTIER CA 90604,1100,Commercial,Stores,Non-Vacant,7,1980,4,East Los Angeles / Gateway,Gateway Planning Area,SOUTH WHITTIER - SUNSHINE ACRES,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3-BE,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.85053442,128,Yes,49,0,0,48,97,VL/AM,,,37049.130859375,770.583533537823
59,8401001015,20560 E ARROW HWY COVINA CA 91724,1200,Commercial,Store Combination,Non-Vacant,0,1962,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.51178533,77,Yes,40,0,0,40,80,VL/AM,HU,"8401001015, 8401001012",22293.279296875,647.26078572417
60,6343003073,6221 WHITTIER BLVD LOS ANGELES CA 90022,1000,Commercial,Commercial,Non-Vacant,0,2014,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,CC,100,,,,,CC - Community Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.90664764,136,Yes,0,0,0,109,109,AM,,,39493.412109375,871.477514928344
61,6086031036,12714 AVALON BLVD LOS ANGELES CA 90061,1910,Commercial,Professional Buildings,Non-Vacant,0,1968,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,0.86084779,130,Yes,0,0,104,0,104,M,F,"6086031036, 6086031037",37498.3798828125,949.944609460091
62,5845008027,2246 LAKE AVE ALTADENA CA 91001,1400,Commercial,Supermarkets,Non-Vacant,0,2017,5,San Gabriel Valley,West San Gabriel Valley Planning Area,ALTADENA,Altadena Community Plan,MU,100,,,,,"MU - Mixed Use ""Center"" (12.1 - 22 du/gross acre)",12.1 du/gross acre,22 du/gross acre,CG,CG - General Commercial (20 - 50 du/net ac),20,50,C-3,79.02,C-2,20.98,,,C-3 - General Commercial,C-3,C-3 - General Commercial,1.02274595,52,Yes,0,0,0,54,54,AM,,,44550.6357421875,845.528094466189
63,5240003031,754 S KERN AVE LOS ANGELES CA 90022,1100,Commercial,Stores,Non-Vacant,0,1955,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,CC,100,,,,,CC - Community Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,0.54680718,83,Yes,34,0,0,33,67,VL/AM,AY,"5240003031, 5240003035",23818.8251953125,617.602861808446
64,6181029044,15600 S ATLANTIC AVE COMPTON CA 90221,2900,Commercial,Nurseries or Greenhouses,Non-Vacant,0,1952,2,South Los Angeles,Metro Planning Area,EAST RANCHO DOMINGUEZ,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.57230232,86,Yes,35,34,0,0,69,VL/L,,,24929.3896484375,640.04889225858
65,8220022062,1150 7TH AVE LA PUENTE CA 91745,2100,Commercial,"Restaurants, Cocktail Lounges",Non-Vacant,1,1969,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,CPD,100,,,,,CPD - Commercial Planned Development,C-1,C-1 - Restricted Business,0.70778057,36,Yes,14,0,0,14,28,VL/AM,,,30830.798828125,694.544217725264
66,6010035027,6900 COMPTON AVE LOS ANGELES CA 90001,7100,Institutional,Churches,Non-Vacant,0,1955,2,South Los Angeles,Metro Planning Area,FLORENCE - FIRESTONE,Florence-Firestone Community Plan,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.59885538,90,Yes,36,36,0,0,72,VL/L,EP,"6010035027, 6010035009",26086.03515625,660.544379039159
67,6201004025,7201 PACIFIC BLVD WALNUT PARK CA 90255,1100,Commercial,Stores,Non-Vacant,8,1983,4,South Los Angeles,Metro Planning Area,WALNUT PARK,Walnut Park Neighborhood Plan,GC,100,,,,,GC - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.84234933,127,Yes,48,48,0,0,96,VL/L,,,36692.5908203125,861.888726715643
68,7452034037,1378 W 7TH ST SAN PEDRO CA 90732,1700,Commercial,Office Buildings,Non-Vacant,0,1984,4,Coastal South Los Angeles,South Bay Planning Area,LA RAMBLA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.51659481,78,Yes,40,0,0,40,80,VL/AM,GU,"7452034037, 7452034020",22502.78125,610.043000214375
69,8215024083,2245 S HACIENDA BLVD HACIENDA HEIGHTS CA 91745,7100,Institutional,Churches,Non-Vacant,0,2001,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,C-2,100,,,,,C-2 - Neighborhood Business,C-2,C-2 - Neighborhood Business,0.83684596,42,Yes,0,0,0,34,34,AM,HK,"8215024083, 8215024019, 8215024010, 8215024082",36452.8642578125,835.8442575907
70,6134001039,620 E EL SEGUNDO BLVD LOS ANGELES CA 90059,1400,Commercial,Supermarkets,Non-Vacant,0,1965,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,1.66251362,250,Yes,100,100,0,0,200,VL/L,,,72418.802734375,1838.6648271323
71,8110023023,13010 VALLEY BLVD LA PUENTE CA 91746,1820,Commercial,Hotel & Motels,Non-Vacant,0,1984,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,AVOCADO HEIGHTS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.60497139,91,Yes,37,0,0,36,73,VL/AM,,,26352.4462890625,641.797571995745
72,8252004045,16021 AMAR RD LA PUENTE CA 91744,2100,Commercial,"Restaurants, Cocktail Lounges",Non-Vacant,0,1963,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,VALINDA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-BE,88.29,P-R,11.71,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,0.80395895,121,Yes,49,0,0,48,97,VL/AM,,,35020.310546875,751.831118378798
73,4071017028,14909 CRENSHAW BLVD GARDENA CA 90249,12TO,Commercial,Store Combination,Non-Vacant,1,1989,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.61417578,93,Yes,0,0,0,95,95,AM,,,26753.3896484375,719.579419706783
74,8204001004,2040 S HACIENDA BLVD HACIENDA HEIGHTS CA 91745,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,1,1974,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,C-2,100,,,,,C-2 - Neighborhood Business,C-2,C-2 - Neighborhood Business,0.87693477,44,Yes,18,0,0,17,35,VL/AM,,,38199.126953125,784.138926452825
75,4070013020,15601 CRENSHAW BLVD GARDENA CA 90249,1830,Commercial,Hotel & Motels,Non-Vacant,0,1961,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,83.99,R-3-P,16.01,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.91908281,138,Yes,71,0,0,70,141,VL/AM,,,40035.087890625,820.478482619084
76,4071019035,3127 W 147TH ST GARDENA CA 90249,3100,Industrial,Lgt Manf.Sm. EQPT. Manuf Sm.Shps Instr.Manuf. Prnt Plnts,Non-Vacant,0,1951,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.67211774,101,Yes,52,0,0,52,104,VL/AM,,,29277.330078125,698.885783921589
77,6181023008,15730 S BUTLER AVE COMPTON CA 90221,0100,Residential,Single,Non-Vacant,1,1937,2,South Los Angeles,Metro Planning Area,EAST RANCHO DOMINGUEZ,General Plan 2035,H18,100,,,,,H18 - Residential 18 (0 - 18 du/net ac),0,18 du/net ac,H30,H30 - Residential 30 (20 - 30 du/net ac),20,30,R-2,100,,,,,R-2 - Two-Family Residence,R-3,R-3 - Limited Density Multiple Residence,0.70620737,22,Yes,9,8,0,0,17,VL/L,,,30762.2705078125,813.291691173015
78,6086013043,12726 S SAN PEDRO ST LOS ANGELES CA 90061,1100,Commercial,Stores,Non-Vacant,1,2001,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-DP,51.72,C-2,47.51,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,0.52314749,79,Yes,0,0,63,0,63,M,,,22788.21484375,604.321596199708
79,4070013016,15717 CRENSHAW BLVD GARDENA CA 90249,1100,Commercial,Stores,Non-Vacant,1,1991,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-1,100,,,,,C-1 - Restricted Business,MXD,MXD - Mixed Use Development,0.85938428,129,Yes,66,0,0,66,132,VL/AM,,,37434.62890625,793.998243180268
80,8571010042,4064 E LIVE OAK AVE ARCADIA CA 91006,7100,Institutional,Churches,Non-Vacant,0,1971,5,San Gabriel Valley,West San Gabriel Valley Planning Area,SOUTH MONROVIA ISLANDS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,1.07319246,161,Yes,0,0,0,51,51,AM,,,46748.076171875,879.300729697023
81,8220022901,1172 7TH AVE HACIENDA HEIGHTS CA 91745,1830,Commercial,Hotel & Motels,Non-Vacant,0,1973,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,CPD,100,,,,,CPD - Commercial Planned Development,C-1,C-1 - Restricted Business,1.12121732,57,Yes,23,0,0,23,46,VL/AM,,,48840.033203125,1248.03197745065
82,4071018027,14711 CRENSHAW BLVD GARDENA CA 90249,1100,Commercial,Stores,Non-Vacant,0,2014,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.92243136,139,Yes,0,0,0,143,143,AM,,,40180.9501953125,931.076847685715
83,6134001034,632 E EL SEGUNDO BLVD LOS ANGELES CA 90059,1500,Commercial,"Shopping Centers (Neighborhood, community)",Non-Vacant,0,1966,2,South Los Angeles,Metro Planning Area,W RANCHO DOMINGUEZ - VICTORIA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,2.31286682,347,Yes,0,0,278,0,278,M,,,100748.076171875,1548.3720340155
84,6181026024,15601 S ATLANTIC AVE COMPTON CA 90221,1100,Commercial,Stores,Non-Vacant,0,1947,2,South Los Angeles,Metro Planning Area,EAST RANCHO DOMINGUEZ,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.57143046,86,Yes,35,34,0,0,69,VL/L,,,24891.41015625,759.708769928015
85,5845019019,2345 LAKE AVE ALTADENA CA 91001,2300,Commercial,Banks Savings & Loan,Non-Vacant,0,1962,5,San Gabriel Valley,West San Gabriel Valley Planning Area,ALTADENA,Altadena Community Plan,MU,100,,,,,"MU - Mixed Use ""Center"" (12.1 - 22 du/gross acre)",12.1 du/gross acre,22 du/gross acre,CG,CG - General Commercial (20 - 50 du/net ac),20,50,C-3,71.76,R-2-P,28.24,,,C-3 - General Commercial,C-3,C-3 - General Commercial,0.52682878,27,Yes,14,0,0,14,28,VL/AM,,,22948.5693359375,624.594932143015
86,5845019011,2440 EL MOLINO AVE ALTADENA CA 91001,0500,Residential,Five or more apartments,Non-Vacant,6,1960,5,San Gabriel Valley,West San Gabriel Valley Planning Area,ALTADENA,Altadena Community Plan,MU,100,,,,,"MU - Mixed Use ""Center"" (12.1 - 22 du/gross acre)",12.1 du/gross acre,22 du/gross acre,CG,CG - General Commercial (20 - 50 du/net ac),20,50,R-2,100,,,,,R-2 - Two-Family Residence,C-3,C-3 - General Commercial,0.55431795,28,Yes,12,0,0,12,24,VL/AM,,,24145.9931640625,761.800158893916
87,8403001045,20050 E ARROW HWY COVINA CA 91724,1100,Commercial,Stores,Non-Vacant,0,1972,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2-BE,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,0.89876617,135,Yes,0,0,0,139,139,AM,,,39150.09765625,892.501896331441
88,8428022003,19530 E CYPRESS ST COVINA CA 91724,1210,Commercial,Store Combination,Non-Vacant,1,1962,5,San Gabriel Valley,East San Gabriel Valley Planning Area,CHARTER OAK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3-BE,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.55881533,84,Yes,43,0,0,43,86,VL/AM,,,24341.8994140625,765.575374473257
89,4201003042,4937 W SLAUSON AVE LOS ANGELES CA 90056,1100,Commercial,Stores,Non-Vacant,0,1989,2,Coastal South Los Angeles,Westside Planning Area,LADERA HEIGHTS / VIEWPARK - WINDSOR HILLS,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,2.06058072,310,Yes,159,0,0,158,317,VL/AM,,,89758.5380859375,1497.75072543471
90,4147010039,13763 INGLEWOOD AVE HAWTHORNE CA 90250,1210,Commercial,Store Combination,Non-Vacant,0,1984,2,Coastal South Los Angeles,South Bay Planning Area,DEL AIRE,General Plan 2035,CG,55.63,H9,44.37,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,55.63,R-1,44.37,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.54699004,83,Yes,43,0,0,42,85,VL/AM,AK,"4147010039, 4147010037",23826.7880859375,624.545691041952
91,7451001010,970 W 1ST ST SAN PEDRO CA 90731,1400,Commercial,Supermarkets,Non-Vacant,0,1957,4,Coastal South Los Angeles,South Bay Planning Area,LA RAMBLA,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-2,100,,,,,C-2 - Neighborhood Business,MXD,MXD - Mixed Use Development,1.23798818,186,Yes,0,0,0,191,191,AM,,,53926.55078125,1016.02317450714
92,6341040035,700 S ATLANTIC BLVD LOS ANGELES CA 90022,1100,Commercial,Stores,Non-Vacant,2,1998,1,East Los Angeles / Gateway,Metro Planning Area,EAST LOS ANGELES,East Los Angeles Community Plan,MC,100,,,,,MC - Major Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.61346258,93,Yes,37,0,0,36,73,VL/AM,GB,"6341040035, 6341040021",26722.3232421875,678.124152391412
93,8204001006,2136 S HACIENDA BLVD HACIENDA HEIGHTS CA 91745,2110,Commercial,"Restaurants, Cocktail Lounges",Non-Vacant,0,1998,1,East Los Angeles / Gateway,East San Gabriel Valley Planning Area,HACIENDA HEIGHTS,Hacienda Heights Community Plan,CG,100,,,,,CG - General Commercial (18 - 30 du/net ac),18 du/ac,30 du/net ac,CG,CG - General Commercial (20 - 50 du/net ac),20,50,C-2,100,,,,,C-2 - Neighborhood Business,C-2,C-2 - Neighborhood Business,0.50978551,26,Yes,0,0,0,21,21,AM,,,22206.16796875,585.445076358551
94,4071018018,14809 CRENSHAW BLVD GARDENA CA 90249,1100,Commercial,Stores,Non-Vacant,0,2004,2,Coastal South Los Angeles,South Bay Planning Area,ALONDRA PARK,General Plan 2035,CG,100,,,,,CG - General Commercial (0 - 50 du/net ac),0,50 du/net ac,MU,MU - Mixed Use (50 - 150 du/net ac),50,150,C-3,100,,,,,C-3 - General Commercial,MXD,MXD - Mixed Use Development,0.63352284,96,Yes,0,0,0,99,99,AM,,,27596.1455078125,735.587599724411
